URL,Path,Template,Theme,Header,Footer,Language,Migration,Phase,Priority,Gate,Actions,Key Blocks,Notes
https://www.wellsfargo.com/,/,T1 Homepage,Default,Default,Default,EN,Yes,Phase 1,1,Gate 1 (Representative),"Import, Style, Validate","Hero, Carousel, Cards, Tabs, Sign-On Tile, App Promo, help-cta, Disclaimers",
https://www.wellsfargo.com/_navlinks/financial-assistance-nav-links/,/_navlinks/financial-assistance-nav-links/,Excluded (CMS Fragment),Default,Default,Default,EN,No,Excluded,14,-,-,-,Internal CMS fragment - excluded
https://www.wellsfargo.com/_navlinks/fixed-income-nav-links/,/_navlinks/fixed-income-nav-links/,Excluded (CMS Fragment),Default,Default,Default,EN,No,Excluded,14,-,-,-,Internal CMS fragment - excluded
https://www.wellsfargo.com/_navlinks/quarterly-earnings-nav-links/,/_navlinks/quarterly-earnings-nav-links/,Excluded (CMS Fragment),Default,Default,Default,EN,No,Excluded,14,-,-,-,Internal CMS fragment - excluded
https://www.wellsfargo.com/about/,/about/,T14 About Landing,Default,Default,Default,EN,Yes,Phase 1,9,Gate 1 (Representative),"Import, Style, Validate","Hero, Cards, Fragment, Columns, Disclaimers",
https://www.wellsfargo.com/about/corporate/governance/black/,/about/corporate/governance/black/,T13 Leadership Bio,Default,Default,Default,EN,Yes,Phase 1,5,Gate 2 (Validation Batch),"Import, Style, Validate","Columns, Cards, Default content, Disclaimers",
https://www.wellsfargo.com/about/corporate/governance/chancy/,/about/corporate/governance/chancy/,T13 Leadership Bio,Default,Default,Default,EN,Yes,Phase 1,5,Gate 2 (Validation Batch),"Import, Style, Validate","Columns, Cards, Default content, Disclaimers",
https://www.wellsfargo.com/about/corporate/governance/craver/,/about/corporate/governance/craver/,T13 Leadership Bio,Default,Default,Default,EN,Yes,Phase 1,5,Gate 3 (Bulk Import),"Import, Style, Validate","Columns, Cards, Default content, Disclaimers",
https://www.wellsfargo.com/about/corporate/governance/davis/,/about/corporate/governance/davis/,T13 Leadership Bio,Default,Default,Default,EN,Yes,Phase 1,5,Gate 2 (Validation Batch),"Import, Style, Validate","Columns, Cards, Default content, Disclaimers",
https://www.wellsfargo.com/about/corporate/governance/engle/,/about/corporate/governance/engle/,T13 Leadership Bio,Default,Default,Default,EN,Yes,Phase 1,5,Gate 3 (Bulk Import),"Import, Style, Validate","Columns, Cards, Default content, Disclaimers",
https://www.wellsfargo.com/about/corporate/governance/fercho/,/about/corporate/governance/fercho/,T13 Leadership Bio,Default,Default,Default,EN,Yes,Phase 1,5,Gate 2 (Validation Batch),"Import, Style, Validate","Columns, Cards, Default content, Disclaimers",
https://www.wellsfargo.com/about/corporate/governance/flowers/,/about/corporate/governance/flowers/,T13 Leadership Bio,Default,Default,Default,EN,Yes,Phase 1,5,Gate 2 (Validation Batch),"Import, Style, Validate","Columns, Cards, Default content, Disclaimers",
https://www.wellsfargo.com/about/corporate/governance/garcia/,/about/corporate/governance/garcia/,T13 Leadership Bio,Default,Default,Default,EN,Yes,Phase 1,5,Gate 3 (Bulk Import),"Import, Style, Validate","Columns, Cards, Default content, Disclaimers",
https://www.wellsfargo.com/about/corporate/governance/hewett/,/about/corporate/governance/hewett/,T13 Leadership Bio,Default,Default,Default,EN,Yes,Phase 1,5,Gate 3 (Bulk Import),"Import, Style, Validate","Columns, Cards, Default content, Disclaimers",
https://www.wellsfargo.com/about/corporate/governance/hranicky/,/about/corporate/governance/hranicky/,T13 Leadership Bio,Default,Default,Default,EN,Yes,Phase 1,5,Gate 3 (Bulk Import),"Import, Style, Validate","Columns, Cards, Default content, Disclaimers",
https://www.wellsfargo.com/about/corporate/governance/ling/,/about/corporate/governance/ling/,T13 Leadership Bio,Default,Default,Default,EN,Yes,Phase 1,5,Gate 3 (Bulk Import),"Import, Style, Validate","Columns, Cards, Default content, Disclaimers",
https://www.wellsfargo.com/about/corporate/governance/morken/,/about/corporate/governance/morken/,T13 Leadership Bio,Default,Default,Default,EN,Yes,Phase 1,5,Gate 3 (Bulk Import),"Import, Style, Validate","Columns, Cards, Default content, Disclaimers",
https://www.wellsfargo.com/about/corporate/governance/morris/,/about/corporate/governance/morris/,T13 Leadership Bio,Default,Default,Default,EN,Yes,Phase 1,5,Gate 3 (Bulk Import),"Import, Style, Validate","Columns, Cards, Default content, Disclaimers",
https://www.wellsfargo.com/about/corporate/governance/norwood/,/about/corporate/governance/norwood/,T13 Leadership Bio,Default,Default,Default,EN,Yes,Phase 1,5,Gate 3 (Bulk Import),"Import, Style, Validate","Columns, Cards, Default content, Disclaimers",
https://www.wellsfargo.com/about/corporate/governance/patterson/,/about/corporate/governance/patterson/,T13 Leadership Bio,Default,Default,Default,EN,Yes,Phase 1,5,Gate 3 (Bulk Import),"Import, Style, Validate","Columns, Cards, Default content, Disclaimers",
